Names,Prices
Aldoha Brown Lentils - 500g,EGP 30.45
Chefy Mix Spicy Chicken Fritto - 250g,EGP 14.00
Aldoha Fenugreek  - 50g,EGP 5.00
YARU Dried Mountain Thyme Jar 25G,EGP 19.00
Cadbury Chixo Spread Chocolate Sachet - 8gm - 32 Pcs,EGP 47.05
Basak Tarhana Yogurt Tomato Soup - 65gm,EGP 8.00
"Harpic Harpic Active Fresh Lavender Toilet Cleaner Rim Block, Value Pack",EGP 37.00
Rose Diet Tuna 4x 200 Gm,EGP 110.00
Aldoha Black Eye Beans  - 500g,EGP 32.00
Aldoha Chickpeas - 500g,EGP 38.40
Haloub Al Missalia Pure Ghee - 800g,EGP 144.00
Nabtah Himalayan Pink Rock Salt - Coarse Salt - 400gm,EGP 29.00
"Harpic Harpic Lemon Toilet Cleaner, 100% Limescale Remover, 700ml",EGP 39.00
Chefy Mix Garlic Mayo - 140g,EGP 15.00
Mr. Food Powder Sugar ( Icing Sugar ) - 1kg,EGP 17.50
Dettol Original Anti-Bacterial Surface Disinfectant Liquid Trigger 500Ml - Pack of 2 @25% Off,EGP 96.25
Chefy Mix Far Eastern Seasoning - 800 Gm,EGP 74.00
Comfort Fabric Softener Flora Soft – 400 ml,EGP 10.00
Regina Pasta Small Rings - 1kg,EGP 27.00
Shaheen Coffee Oriental Blend Light Turkish Coffee With Cardamom - 100gm,EGP 34.75
Chefy Mix Cheese Sauce - 130g,EGP 27.00
Silicone Brushes - 2 Pieces,EGP 55.00
Nescafe 3 in 1 Caramel Pack - 24 Pcs x 18,EGP 64.00
Regina Pasta Linguini - 1kg,EGP 26.90
Juhayna Juhayna Guava Pure Juice – 1L,EGP 23.00
Star Pasta Shells - 400gm,EGP 8.30
STEVIA Castello Diet Sugar Box Of100 Sachets,EGP 115.00
Barbican Apple Non-Alcoholic Malt Can – 250ml,EGP 8.50
Lipton Classic Green Tea - 25 Tea Bags,EGP 15.00
Organic Bliss Peanut Butter With Chocolate Dark -Belgain (KETO)350g -Healthy & Organic,EGP 65.00
Calnort Fish Flavor Stock - 8*80g Cubes,EGP 8.00
Vitrac Creamy Apricot Jam - 430 Gm,EGP 21.00
Juhayna Juhayna Pomegranate Pure Juice – 1 L,EGP 28.50
Ariel Liquid touch of downy detergent 2.5 Kilogram,EGP 114.00
Juhayna Juhayna Skimmed Milk – 1 L,EGP 20.95
White Chef Kitchen Towels - 3 Ply - 2 Rolls,EGP 16.50
Regina Pasta Rice - 400g,EGP 12.50
Colavita Extra Virgin Olive Oil 750 Ml,EGP 180.00
Roots Lemon With Mint -  30 Envelopes,EGP 18.00
shana Vinegar Apple Cider Organic - 250 ML.,EGP 47.00
Rani Orange Float Super Fruit Drink – 240ml,EGP 7.95
Sante Crunchy Banana & Chocolate Bar - 40gm,EGP 9.00
Lipton Black Tea with Cardamom - 25 Teabags,EGP 17.90
Aldoha Jasmine white Rice - 1K,EGP 52.00
